"統計期","學制別","總計[人]","升學/合計[人]","升學/大學校院[人]","升學/專科學校[人]","升學/高中或高職[人]","升學/師專師院[人]","升學/軍警學校[人]","升學/其他[人]","就業/合計[人]","就業/農林漁牧狩獵業[人]","就業/礦業及土石採取業[人]","就業/製造業或營造業[人]","就業/水電燃氣業[人]","就業/批發零售及餐飲業[人]","就業/金融保險不動產及租賃業[人]","就業/運輸倉儲通信業[人]","就業/社會及個人服務業[人]","就業/其他[人]","閒居[人]","其他[人]"
"79學年","總計",87091,56304,0,19326,34428,182,508,1860,14184,76,16,1861,410,5735,2016,550,2708,812,13548,3055
"79學年","高中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79學年","初中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79學年","高級中學",16057,11633,0,11384,0,127,95,27,629,4,0,14,7,112,166,29,90,207,3449,346
"79學年","高級職業學校",24648,3904,0,3586,0,55,228,35,12391,69,14,1493,356,5515,1707,495,2253,489,6793,1560
"79學年","國民中學",46386,40767,0,4356,34428,0,185,1798,1164,3,2,354,47,108,143,26,365,116,3306,1149
"80學年","總計",86224,56943,0,21130,33869,259,417,1268,13967,55,13,1516,381,5584,2281,569,2660,908,12068,3246
"80學年","高中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80學年","初中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80學年","高級中學",16272,12410,0,12181,0,181,48,0,478,0,0,7,5,85,102,16,139,124,2842,542
"80學年","高級職業學校",25264,5097,0,4791,0,78,228,0,12368,53,9,1226,330,5372,1932,523,2209,714,6382,1417
"80學年","國民中學",44688,39436,0,4158,33869,0,141,1268,1121,2,4,283,46,127,247,30,312,70,2844,1287
"81學年","總計",87237,59452,0,23123,34237,249,539,1304,13760,70,29,999,404,5048,2728,761,2615,1106,11313,2712
"81學年","高中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81學年","初中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81學年","高級中學",16523,13195,0,12880,0,182,75,58,374,1,4,4,11,88,97,38,85,46,2710,244
"81學年","高級職業學校",25991,5920,0,5457,0,65,279,119,12494,66,23,831,364,4871,2519,665,2197,958,6096,1481
"81學年","國民中學",44723,40337,0,4786,34237,2,185,1127,892,3,2,164,29,89,112,58,333,102,2507,987
"82學年","總計",91843,62411,0,24653,35428,238,530,1562,14596,24,63,1128,293,4980,2525,667,3558,1358,11868,2968
"82學年","高中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82學年","初中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82學年","高級中學",18547,14326,0,14068,0,157,101,0,546,1,1,5,1,98,98,28,139,175,3191,484
"82學年","高級職業學校",26573,6749,0,6131,0,81,215,322,12937,22,62,913,250,4767,2288,615,3031,989,5803,1084
"82學年","國民中學",46723,41336,0,4454,35428,0,214,1240,1113,1,0,210,42,115,139,24,388,194,2874,1400
"83學年","總計",91044,62184,0,24833,35365,303,364,1319,14585,65,62,973,361,5995,2654,456,2832,1187,11568,2707
"83學年","高中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83學年","初中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83學年","高級中學",18483,14060,0,13556,54,286,105,59,412,0,0,6,0,120,105,19,114,48,3764,247
"83學年","高級職業學校",26730,6791,0,6658,0,17,111,5,13206,63,57,782,307,5735,2412,424,2382,1044,5595,1138
"83學年","國民中學",45831,41333,0,4619,35311,0,148,1255,967,2,5,185,54,140,137,13,336,95,2209,1322
"84學年","總計",86471,60637,0,25347,33379,414,337,1160,13132,42,38,949,221,5001,2294,633,2689,1265,10388,2314
"84學年","高中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84學年","初中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84學年","高級中學",19131,14406,0,13908,44,350,98,6,471,2,0,18,4,115,138,22,131,41,3909,345
"84學年","高級職業學校",25308,7347,0,7146,1,64,112,24,11892,37,30,839,191,4779,2034,594,2379,1009,5072,997
"84學年","國民中學",42032,38884,0,4293,33334,0,127,1130,769,3,8,92,26,107,122,17,179,215,1407,972
"85學年","總計",88325,64017,0,26997,34977,467,388,1188,11869,9,7,856,153,4545,2231,776,2065,1227,10110,2329
"85學年","高中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85學年","初中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85學年","高級中學",19353,15392,0,14806,0,372,186,28,485,0,0,9,2,134,77,35,160,68,3252,224
"85學年","高級職業學校",25450,7964,0,7731,0,92,77,64,10750,9,4,773,136,4319,2076,722,1759,952,5736,1000
"85學年","國民中學",43522,40661,0,4460,34977,3,125,1096,634,0,3,74,15,92,78,19,146,207,1122,1105
"86學年","總計",86734,63962,0,27383,35062,410,198,909,11639,11,10,800,277,4600,2238,455,2253,995,9164,1969
"86學年","高中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86學年","初中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86學年","高級中學",19930,16136,0,15667,0,373,75,21,492,0,0,0,0,32,226,26,141,67,3151,151
"86學年","高級職業學校",25022,8230,0,7805,260,37,52,76,10694,10,10,748,274,4551,1904,424,1953,820,5127,971
"86學年","國民中學",41782,39596,0,3911,34802,0,71,812,453,1,0,52,3,17,108,5,159,108,886,847
"87學年","總計",84478,62523,0,28302,32912,318,221,770,10527,12,1,588,260,3229,2376,818,2335,908,9454,1974
"87學年","高中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87學年","初中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87學年","高級中學",20910,16696,0,16329,0,286,75,6,603,0,0,2,0,54,127,29,349,42,3414,197
"87學年","高級職業學校",24188,8017,0,7871,0,27,33,86,9590,12,1,546,249,3129,2193,786,1879,795,5555,1026
"87學年","國民中學",39380,37810,0,4102,32912,5,113,678,334,0,0,40,11,46,56,3,107,71,485,751
"88學年","總計",83739,64572,0,31018,32329,444,189,592,8827,16,3,554,155,840,1225,362,5579,93,8354,1986
"88學年","高中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88學年","初中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88學年","高級中學",22903,18796,0,18269,0,416,76,35,581,6,0,3,0,37,126,5,404,0,3131,395
"88學年","高級職業學校",22879,9712,0,9547,0,28,40,97,8032,10,3,518,145,759,1098,355,5051,93,4311,824
"88學年","國民中學",37957,36064,0,3202,32329,0,73,460,214,0,0,33,10,44,1,2,124,0,912,767
"89學年","總計",78345,61761,0,31221,29558,267,165,550,6371,5,1,663,90,1859,333,257,3104,59,7055,3158
"89學年","高中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"89學年","初中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"89學年","高級中學",23309,19291,0,18972,0,225,81,13,356,2,0,31,1,103,39,9,157,14,3067,595
"89學年","高級職業學校",21441,10178,0,9995,0,42,32,109,5865,1,1,623,88,1707,294,248,2858,45,3643,1755
"89學年","國民中學",33595,32292,0,2254,29558,0,52,428,150,2,0,9,1,49,0,0,89,0,345,808
"90學年","總計",76328,62467,0,32074,29113,619,99,562,5100,5,2,158,75,1119,425,218,2998,100,6491,2270
"90學年","高中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90學年","初中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90學年","高級中學",24165,20564,0,19905,0,610,40,9,423,1,1,5,0,96,35,3,252,30,2805,373
"90學年","高級職業學校",19544,10396,0,10062,0,9,24,301,4553,3,1,151,72,992,390,213,2662,69,3313,1282
"90學年","國民中學",32619,31507,0,2107,29113,0,35,252,124,1,0,2,3,31,0,2,84,1,373,615
"91學年","總計",46163,32393,28064,4141,0,0,67,242,7168,2,10,286,116,2466,318,254,3584,132,5016,1586
"91學年","高中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91學年","初中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91學年","高級中學",25423,21740,21093,531,0,0,51,130,916,0,0,16,0,404,10,16,434,36,2449,318
"91學年","高級職業學校",20740,10653,6971,3610,0,0,16,112,6252,2,10,270,116,2062,308,238,3150,96,2567,1268
"91學年","國民中學",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92學年","總計",39686,29694,27312,2173,0,0,63,292,5906,48,8,248,98,1938,206,198,3092,70,2944,1142
"92學年","高中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92學年","初中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92學年","高級中學",23192,20669,20324,192,0,0,46,214,668,46,0,10,4,312,14,8,258,16,1631,224
"92學年","高級職業學校",16494,9025,6988,1981,0,0,17,78,5238,2,8,238,94,1626,192,190,2834,54,1313,918
"92學年","國民中學",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"93學年","總計",39160,30545,28614,1747,0,0,38,292,5024,6,12,192,60,2046,174,174,2274,86,2598,993
"93學年","高中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"93學年","初中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"93學年","高級中學",24343,21990,21670,182,0,0,33,210,618,2,0,12,2,284,20,12,284,2,1450,285
"93學年","高級職業學校",14817,8555,6944,1565,0,0,5,82,4406,4,12,180,58,1762,154,162,1990,84,1148,708
"93學年","國民中學",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"94學年","總計",39223,31785,30042,1440,0,0,92,422,4588,6,2,190,52,1998,166,190,1974,10,2218,632
"94學年","高中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"94學年","初中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"94學年","高級中學",25381,23149,22742,164,0,0,77,332,858,0,0,38,4,412,42,52,310,0,1203,171
"94學年","高級職業學校",13842,8636,7300,1276,0,0,15,90,3730,6,2,152,48,1586,124,138,1664,10,1015,461
"94學年","國民中學",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95學年","總計",40407,34372,32927,1128,0,0,101,432,3860,8,6,152,28,1714,54,162,1668,68,1381,794
"95學年","高中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95學年","初中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95學年","高級中學",25706,24227,23851,133,0,0,87,312,608,4,0,12,2,274,18,38,208,52,692,179
"95學年","高級職業學校",14701,10145,9076,995,0,0,14,120,3252,4,6,140,26,1440,36,124,1460,16,689,615
"95學年","國民中學",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96學年","總計",40860,36137,34993,833,0,0,160,302,2862,0,4,160,22,1382,20,74,1188,12,1179,682
"96學年","高中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96學年","初中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96學年","高級中學",25772,24684,24359,73,0,0,137,230,318,0,4,12,4,144,0,2,150,2,604,166
"96學年","高級職業學校",15088,11453,10634,760,0,0,23,72,2544,0,0,148,18,1238,20,72,1038,10,575,516
"96學年","國民中學",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97學年","總計",38957,35899,34918,567,0,0,203,422,1357,0,0,56,4,664,8,44,573,8,1083,618
"97學年","高中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97學年","初中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97學年","高級中學",25271,24486,24137,56,0,0,148,290,164,0,0,3,1,80,2,4,68,6,523,98
"97學年","高級職業學校",13686,11413,10781,511,0,0,55,132,1193,0,0,53,3,584,6,40,505,2,560,520
"97學年","國民中學",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98學年","總計",38624,35516,34812,343,0,0,195,166,1175,0,1,38,12,546,5,41,532,0,1308,625
"98學年","高中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98學年","初中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98學年","高級中學",24689,23798,23480,21,0,0,171,126,111,0,0,3,1,54,0,1,52,0,646,134
"98學年","高級職業學校",13935,11718,11332,322,0,0,24,40,1064,0,1,35,11,492,5,40,480,0,662,491
"98學年","國民中學",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99學年","總計",38606,35797,35219,223,0,0,150,371,1023,0,0,13,1,498,6,74,429,2,1312,474
"99學年","高中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99學年","初中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99學年","高級中學",24371,23389,23082,21,0,0,125,287,74,0,0,1,0,33,0,0,38,2,803,105
"99學年","高級職業學校",14235,12408,12137,202,0,0,25,84,949,0,0,12,1,465,6,74,391,0,509,369
"99學年","國民中學",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100學年","總計",38310,35798,35183,227,0,0,139,249,851,0,1,19,3,423,12,44,348,1,1249,412
"100學年","高中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100學年","初中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100學年","高級中學",24068,23143,22805,22,0,0,106,210,70,0,0,1,0,28,10,1,29,1,747,108
"100學年","高級職業學校",14242,12655,12378,205,0,0,33,39,781,0,1,18,3,395,2,43,319,0,502,304
"100學年","國民中學",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101學年","總計",37897,35617,34990,173,0,0,164,290,992,1,0,26,11,447,6,23,473,5,779,509
"101學年","高中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101學年","初中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101學年","高級中學",23866,23135,22732,1,0,0,142,260,74,0,0,3,0,33,0,0,38,0,503,154
"101學年","高級職業學校",14031,12482,12258,172,0,0,22,30,918,1,0,23,11,414,6,23,435,5,276,355
"101學年","國民中學",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"102學年","總計",38590,36325,35586,197,0,0,188,354,1032,0,1,35,1,476,10,17,482,10,653,580
"102學年","高中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"102學年","初中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"102學年","高級中學",24185,23496,23036,2,0,0,151,307,54,0,0,3,0,21,0,2,27,1,462,173
"102學年","高級職業學校",14405,12829,12550,195,0,0,37,47,978,0,1,32,1,455,10,15,455,9,191,407
"102學年","國民中學",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

